Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Type,Individuals Affected,Name of Entity,Type of Breach,State Reported
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/5/18,11/1/2018,Not specified,Other Commercial ,135(2 in Maine),"Vega US., LLC",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/6/18,11/26/18,11/24/18,Other Commercial ,643(3 in Maine),"Backcountry Edge, Inc.",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","December 31, 2018","December 20, 2018","August 5, 2016 through November 16, 2018",Other Commercial ,"70,244(310 in Maine)","BEL USA, LLC through its website DiscountMugs.com",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/31/2018,"December 20, 2018","August 5, 2016 through November 16, 2018.",Other Commercial ,"70,244(310 in Maine)",a,,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",December 7,"Nobember 26, 2018","November 21, 2018",Educational ,1285(1285 in Maine),A.O.S. #77,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","December 20, 2018","Nov. 30, 2018","Nov. 27, 2018",Other Commercial ,125(1 in Maine),"Federal Group, Inc. t/d/b/a Clarion Hotel & Conference Center, Shepherdstown, WV",,Maine
Social Security Number ,12/20/2018,11/21/2018,11/1/2018,Financial Services ,"4,972(11 in Maine)","Kestra Investment Services, LLC",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/4/18,11/5/18,9/4/18 - 9/12/18,Financial Services ,"20,675(4 in Maine)","Capital One, National Association",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/30/18,10/23/18,8/15/18 to 10/10/18,Other Commercial ,"8,151(5 in Maine)","Walters and Mason Retail, Inc. d/b/a Altar'd State",,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",December 7,"Nobember 26, 2018","November 21, 2018",Educational ,1285(1285 in Maine),A.O.S. #77,,Maine
,Week of 12/17/2018,"November 8, 2018","Between June 7, 2018 and November 20, 2018",Other Commercial ,"11,972(52 in Maine)","Piech Sales Company, LLC dba ValuePetSupplies.com",,Maine
Social Security Number ,11/30/18,8/6/18,5/23/18,Other Commercial ,"11,702(4 in Maine)","Five Guys Holdings, Inc. and its subsidiaries",,Maine
Social Security Number ,11/30/18,6/11/08 - 9/18/18,6/5/18,Financial Services ,1587(7 in Maine),Rosenberg & Manente,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/30/18,10/30/18,6/1/16,Other Commercial ,"74,548(50 in Maine)","1873349 Ontario, Inc.",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/30/18,9/8/18,Since 2014,Other Commercial ,"500,000,000(Not yet determined in Maine)","Marriott International, Inc.",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",a,a,a,Other Commercial ,a(a in Maine),a,"External system breach (e.g., hacking)External system breach (e.g., hacking)a",Maine
Social Security Number ,11/30/18,10/20/18,10/1/18-10/15/18,Educational ,"Approx. 2,400(7 in Maine)",Franciscan University of Steubenville,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/29/18,10/10/18,Unknown,Other Commercial ,"6,156(11 in Maine)","Viyet, LLC dba Sotheby's Home",,Maine
,"December 14, 2018","November 27, 2018","March 8, 2018",Other Commercial ,30(1 in Maine),Symantec Corporation,,Maine
Social Security Number ,"December 14, 2018","September 14, 2018","September 10, 2018",Financial Services ,104(1 in Maine),Metropolitan Life Insurance Company,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/17/2018-12/21/2018,11/19/2018,8/2/2018-9/26/2018,Other Commercial ,14519(2 in Maine),"Beverages & More, Inc. dba BevMo!",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/7/18,11/7/18,9/27/18,Other Commercial ,1001(2 in Maine),"Robert Graham Designs, LLC",,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/21/18 - 11/28/18,11/1/18?,11/1/18,Financial Services ,"270,000(2,243 originally.  Supplemental notice includes an additional 70 Maine residents in Maine)",LPL Financial LLC,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","December 6, 2018","November 7, 2018","October 23, 2018",Other Commercial ,405(1 in Maine),Adopt a Highway Maintenance Corporation,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/28/18,10/31/18,Unknown,Other Commercial ,"175,221(2,857 in Maine)","Dunkin' Brands, Inc.",Unauthorized third parties used credentials gained from other companies' breaches to gain access to consumer DD perks accounts where consumers used the same credentials.,Maine
"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/26/18,10/26/18,"From May 17th, June 6th and September 2018",,909(1 in Maine),Town of Christiansburg,Phishing email attack,Maine
"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/26/18,10/15/18,10/3/18,Financial Services ,"3,115(18 in Maine)",Prosper,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",9/7/18 and 10/25/18,9/5/18,8/21/18-9/5/2018 and 5/21/18-7/28/18,Other Commercial ,"429,000(71 in Maine)","British Airways, Plc",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/20/2018,10/29/2018,10/16/2017,Other Commercial ,580(2 in Maine),"Chamberlain Group, Inc",,Maine
"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-31 00:00:00,,8/3/2018 (discovered 10/2/18),,3(in Maine,"Whole Foods Market Group, Inc., 550 Bowie Street, Austin, TX 78703",,Maine
"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-29 00:00:00,,2018-09-18 00:00:00,,1(in Maine,"LJCooper Capital Management, LLC d/b/a LJCooper Wealth Advisors, 742 N 530 E, Orem, UT 84097",,Maine
Personal data including SSN,2018-10-27 00:00:00,,Discovered 10/23/18,,32(in Maine,"University of Maine, 46 University Drive, Augusta, Maine 04330",,Maine
Name or other personal identifier in combination with SSN,2018-10-26 00:00:00,,2018-06-04 00:00:00,,4(in Maine,"Star Title Partners of Palm Harbor, LLC, 30522 US Hwy 19 N. Ste. 101, Palm Harbor, FL 34684",,Maine
Name or other personal identifier in combination with SSN,2018-10-25 00:00:00,,2018-09-29 00:00:00,,1(in Maine,"Cenera Funding, Inc., 3600 Benbrook Highway, Fort Worth, TX  76116",,Maine
Name or other personal identifier in combination with SSN and driver's license number or non-driver identification card numbe,2018-10-26 00:00:00,,8/6/18-8/31/18 (discovered 8/29/18),,1(in Maine,"Fifth Third Bank, 38 Fountain Square Plaza, Cincinnati, OH  45140",,Maine
Personal information relating to Net32 orders potentially including credit card numbers.,2018-10-25 00:00:00,,9/22/18 - 9/25/18,,25(in Maine,Net32,,Maine
"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-25 00:00:00,,8/13/18-9/24/18,,10(in Maine,"TravisMathew LLC, 15202 Graham Street, Huntington Beach, CA 92649",,Maine
Name or other personal identifier in combination with SSN,2018-10-25 00:00:00,,Unknown - 9/25/18,,1(in Maine,"Heartland Hotel Corporation, 4403 First Ave., SE Suite 114; Cedar Rapids, IA  52402",,Maine
"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-25 00:00:00,,4/11/18-9/13/18,,68(in Maine,"STL International, Inc., d/b/a Teeter, 9902 162nd Street, Ct. E., Puyallup, WA 98375",,Maine
"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-25 00:00:00,,4/4/18-9/26/18,,1(in Maine,"Avis Budget Portugal, Sovial - Sociedade de Viatruas de Aluguer, Lda., R. Prof. Fernando da Fonseca, Edificio Visconde De Alvalade, 6  piso, Lisboa, Portugal 01600-616",,Maine
"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-24 00:00:00,,7/7/17-10/2/18 (discovered 10/2/18),,331(in Maine,"GSI US, Inc., 1009 Lenox Drive, Suite 202, Lawrenceville, NJ 08648",,Maine
"Name, username and password",2018-10-25 00:00:00,,In or prior to April 2018 (discovered 9/23/18),,1697(in Maine,"Tengointernet, Inc., 3300 North Interstate Highway 35, Suite 600, Austin, TX 78705",,Maine
Old Discover Card information may have been compromised,2018-10-24 00:00:00,,2018-09-01 00:00:00,,512(in Maine,Aptos Inc,,Maine
Old Discover Card information may have been compromised,2018-10-24 00:00:00,,2018-09-01 00:00:00,,1(in Maine,British Airways,,Maine
Old Discover Card information may have been compromised,2018-10-24 00:00:00,,2018-09-01 00:00:00,,1(in Maine,City Lights Collectibles,,Maine
