Name of Entity,Start Date of Breach,Individuals Affected,State Reported,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Industry,Parent Company,Website,End Date of Breach,Link to PDF,Location of Breached Information,Reported Date,Type of Breach,Source(s)
"Ace Cash Express, Inc.",2018-10-27 00:00:00,4360.0,"{'Indiana', 'California'}",UNK,2018-12-14,,2018-10-27 00:00:00,,,,,,,,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\', ""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Ace Surgical Supply,",2015-09-15 00:00:00,,{'New Hampshire'},UNK,,,"September 15, 2015",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/ace-surgical-supply-20150915.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Acer Service Corporation,",2016-06-03 00:00:00,,{'New Hampshire'},UNK,,,"June 03, 2016",Computer hardwareElectronics,,www.acer.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/acer-service-20160603.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Acer Service Corporation,",2015-05-12 00:00:00,110.0,"{'California', 'Oregon', 'Montana'}",UNK,2016-06-03 00:00:00,2016-04-26 00:00:00,5/12/2015,Computer hardwareElectronics,,www.acer.com,,,,2016-06-14 00:00:00,7,"{'{""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}"", \'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\', ""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}', ""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}""}"
Acme Car Wash And Clearwater Express,2017-02-06 00:00:00,,{'California'},UNK,,,"02/06/2017, 02/07/2017, 02/08/2017, 02/09/2017, 02/10/2017, 02/11/2017, 02/12/2017, 02/13/2017, 02/14/2017, 02/15/2017, 02/16/2017, 03/17/2017, 02/18/2017, 02/19/2017, 02/20/2017, 02/21/2017, 02/22/2017, 02/23/2017",,,,2017-02-23,https://oag.ca.gov/ecrime/databreach/reports/sb24-67429,,2017-04-10,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Acosta, Inc. (mosaic Sales Solutions Us Operating Co. Llc),",2014-12-12 00:00:00,,{'New Hampshire'},UNK,,,"December 12, 2014",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/acosta-20141212.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Acosta, Inc. And Its Subsidiaries, Including Mosaic Sales Solutions Us Operating Co. Llc",2014-11-10 00:00:00,,{'California'},UNK,,,11/10/2014,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-47713,,2014-12-12,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Acquis Consulting Group Llc,",2018-12-20 00:00:00,,{'New Hampshire'},"['social security number', 'passport', 'license', 'name', 'date of birth', 'financial', 'email', 'phone number', 'address', 'insurance', 'identification number']",,,"December 20, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/acquis-consulting-20181220.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Acronis, Inc.,",2016-03-04 00:00:00,,{'New Hampshire'},UNK,,,"March 04, 2016",Software,,www.acronis.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/acronis-20160304.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Actagro Llc,2016-06-10 00:00:00,114.0,{'Indiana'},UNK,2016-08-09,,2016-06-10 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Actelis Networks, Inc.",2013-12-13 00:00:00,,{'New Hampshire'},UNK,,,"December 13, 2013",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/actelis-networks-20131213.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Actifio, Inc.,",2016-03-02 00:00:00,,{'New Hampshire'},UNK,,,"March 02, 2016",Information Technology,,actifio.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/actifio-20160302.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Active Network,",2018-02-23 00:00:00,,{'New Hampshire'},"['license', 'name', 'credit card', 'debit card', 'payment', 'verification code', 'expiration date', 'password', 'email', 'address', 'insurance', 'identification number']",,,"February 23, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/active-20180223.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Active Network,",2016-08-22 00:00:00,,{'Wisconsin'},UNK,2016-09-19 00:00:00,,"August 22, 2016",,,,,,,,7,"{'{""{\'https://datcp.wi.gov/Pages/Programs_Services/DataBreaches.aspx\'}""}'}"
"Active Network,",2016-12-01 00:00:00,1.0,{'Montana'},UNK,,,12/1/2016-9/30/2017,,,,2017-09-30, https://media.dojmt.gov/wp-content/uploads/Active-Network.pdf ,,2018-02-23,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Active Network,",2016-12-13 00:00:00,207.0,{'Indiana'},UNK,2018-02-23,,2016-12-13 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Activeoutdoors,2016-09-19 00:00:00,,{'New Hampshire'},"['license', 'name', 'date of birth', 'credit card', 'financial', 'phone number', 'address', 'insurance']",,,"September 19, 2016",IT,Vodafone,www.wayfinder.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/activeoutdoors-20160919.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Activeoutdoors,2016-08-22 00:00:00,40370.0,{'Montana'},UNK,,,8/22/2016-8/22/2016,IT,Vodafone,www.wayfinder.com,2016-08-22, https://media.dojmt.gov/wp-content/uploads/ACTIVEOutdoors.pdf ,,2016-09-19,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Activeoutdoors,Not Specified,,{'Iowa'},"['license', 'name', 'date of birth', 'credit card', 'financial', 'phone number', 'address', 'insurance']",,,,IT,Vodafone,www.wayfinder.com,,https://www.iowaattorneygeneral.gov/media/cms/ACTIVEOutdoors_7E1F4328919F2.pdf,,2016,1,{'https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/'}
Activeoutdoors,Prior,,{'Washington'},"['license', 'name', 'date of birth', 'credit card', 'financial', 'phone number', 'address', 'insurance']",,,Prior to July 2006,IT,Vodafone,www.wayfinder.com,July 2006,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ActiveOutdoors.2016-09-19.pdf,,2016-09-19 00:00:00,1,"{'{""{\'https://www.atg.wa.gov/data-breach-notifications\'}"", \'https://www.atg.wa.gov/data-breach-notifications\'}'}"
Activeoutdoors,a,,{'Oregon'},UNK,2016-09-19 00:00:00,2016-08-22 00:00:00,,IT,Vodafone,www.wayfinder.com,,,,2016-09-19 00:00:00,7,"{'{\'https://justice.oregon.gov/consumer/DataBreach/Home/\', ""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}'}"
"Acumentrics Corporation,",2012-06-11 00:00:00,,{'New Hampshire'},UNK,,,"June 11, 2012",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/acumentrics-20120611.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Adams County, Wi",2013-01-01 00:00:00,258120.0,{'Wisconsin'},UNK,2018-08-10 00:00:00,,"January 1, 2013 through March 28, 2018",,,,2018-03-28 00:00:00,,,,7,"{'{""{\'https://datcp.wi.gov/Pages/Programs_Services/DataBreaches.aspx\'}""}'}"
Addus Homecare,2016-03-31 00:00:00,1.0,{'Montana'},UNK,,,3/31/2016-3/31/2016,,,,2016-03-31, https://media.dojmt.gov/wp-content/uploads/Addus-HomeCare.pdf ,,2016-04-15,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Adelman Travel Systems Inc,2018-06-14 00:00:00,48.0,{'Indiana'},UNK,2018-10-18,,2018-06-14 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Adf International,2017-03-10 00:00:00,307.0,{'Montana'},UNK,,,3/10/2017-3/10/2017,,,,2017-03-10, https://media.dojmt.gov/wp-content/uploads/ADF-International.pdf ,,2017-03-13,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Adf International, Inc.,",2017-04-12 00:00:00,,{'New Hampshire'},"['name', 'address']",,,"April 12, 2017",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/adf-20170412.pdf,,,2,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Adf International, Inc.,",2017-03-10 00:00:00,303.0,{'Indiana'},UNK,2013-04-12,,2017-03-10 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Adjutant Generals Officeof Indiana,2018-10-15 00:00:00,1972.0,{'Indiana'},UNK,2018-10-24,,2018-10-15 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Adobe,2013-10-04 00:00:00,2.0,{'Wisconsin'},UNK,2013-10-04 00:00:00,,"October 4, 2013",,,,,,,,7,"{'{""{\'https://datcp.wi.gov/Pages/Programs_Services/DataBreaches.aspx\'}""}'}"
Adobe Systems Incorporated,2013-09-11 00:00:00,,{'California'},UNK,,,"09/11/2013, 09/12/2013, 09/13/2013, 09/14/2013, 09/15/2013, 09/16/2013, 09/17/2013",Computer software,,adobe.com,2013-09-17,https://oag.ca.gov/ecrime/databreach/reports/sb24-42872,,2013-10-03,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Adobe Systems,",2013-10-02 00:00:00,,{'New Hampshire'},UNK,,,"October 02, 2013",Computer software,,adobe.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/adobe-systems-20131002.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Adopt A Highway Maintenance Corporation,",2018-12-03 00:00:00,,{'New Hampshire'},"['name', 'credit card', 'financial', 'expiration date', 'password', 'address']",,,"December 03, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/adopt-a-highway-20181203.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Adopt A Highway Maintenance Corporation,",2018-10-23 00:00:00,405.0,{'Indiana'},UNK,2018-12-06,,2018-10-23 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Adp,2016-01-18 00:00:00,230.0,{'Indiana'},UNK,2016-03-22,,2016-01-18 00:00:00,Business services,,ADP.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Adp, Llc",2015-04-07 00:00:00,,{'California'},UNK,,,"04/07/2015, 05/18/2015",Business services,,ADP.com,2015-05-18,https://oag.ca.gov/ecrime/databreach/reports/sb24-56273,,2015-06-08,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Advance Auto Parts,2016-03-15 00:00:00,,{'New Hampshire'},UNK,,,"March 15, 2016",Auto Parts Retail,,AdvanceAutoParts.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/advance-auto-20150315.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Advance Auto Parts,2016-03-07 00:00:00,3310.0,"{'Indiana', 'Oregon', 'Washington', 'Montana'}",UNK,2016-03-16 00:00:00,,3/7/2016,Auto Parts Retail,,AdvanceAutoParts.com,,,,2016-04-14 00:00:00,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}"", \\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\', ""{\'https://www.atg.wa.gov/data-breach-notifications\', \'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}', ""{'https://justice.oregon.gov/consumer/DataBreach/Home/', 'https://www.atg.wa.gov/data-breach-notifications'}""}"
Advance Auto Parts,Not Specified,,{'Iowa'},UNK,,,,Auto Parts Retail,,AdvanceAutoParts.com,,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Advance_Auto_Parts_7F7E42A9674E2.pdf,,2016,7,{'https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/'}
"Advance Auto Parts, Inc",2016-03-07 00:00:00,,{'California'},UNK,,,03/07/2016,Auto Parts Retail,,AdvanceAutoParts.com,,https://oag.ca.gov/ecrime/databreach/reports/sb24-60518,,2016-03-16,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Advance International Marketing,2016-04-04 00:00:00,63888.0,{'Indiana'},UNK,2016-04-26,,2016-04-04 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Advance International Marketing, Inc.",2016-04-04 00:00:00,,{'California'},UNK,,,04/04/2016,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-61377,,2016-04-26,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Advanced Data Processing, Inc. (adpi)",2012-06-15 00:00:00,,{'Wisconsin'},UNK,2012-11-29 00:00:00,,"June 15, 2012 to October 1, 2012",,,,2012-10-01 00:00:00,,,,7,"{'{""{\'https://datcp.wi.gov/Pages/Programs_Services/DataBreaches.aspx\'}""}'}"
"Advanced Data Processing, Inc.,",2012-11-28 00:00:00,,{'New Hampshire'},UNK,,,"November 28, 2012",Business services,,ADP.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/advanced-data-processing-20121128.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Advanced Data Processing, Inc.,",2012-06-15 00:00:00,,{'California'},UNK,,,"06/15/2012, 10/01/2012",Business services,,ADP.com,2012-10-01,https://oag.ca.gov/ecrime/databreach/reports/sb24-37063,,2012-11-28,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Advanced Graphic Products, Inc. D/b/a Advanced-online",2017-04-29 00:00:00,22.0,"{'Indiana', 'California'}",UNK,2018-02-02,,2017-04-29 00:00:00,,,,,,,,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\', ""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Advanced Graphic Products, Inc.,",2018-02-01 00:00:00,,{'New Hampshire'},"['license', 'name', 'payment', 'financial', 'expiration date', 'password', 'username', 'email', 'address']",,,"February 01, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/advanced-graphic-20180201.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Advanced Icucare Inc,2017-03-09 00:00:00,320.0,{'Indiana'},UNK,2017-04-19,,2017-03-09 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Advanced International Marketing, Inc.",2016-04-04 00:00:00,,{'Oregon'},UNK,2016-04-26 00:00:00,2016-04-04 00:00:00,4/4/2016,Information technology,,caci.com,,,,2016-04-26 00:00:00,7,"{'{""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}', ""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}""}"
"Advanced Medical Reviews, Llc",2013-09-01 00:00:00,1.0,"{'Indiana', 'Montana'}",UNK,,,9/1/2013-8/31/2017,,,,2017-08-31, https://media.dojmt.gov/wp-content/uploads/Advanced-Medical-Reviews-LLC.pdf ,,2018-10-08,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}"", \\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Advanced Technology Group,2017-10-01 00:00:00,1020.0,{'Indiana'},UNK,2018-06-01,,2017-10-01 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Advanced Technology Group,2017-12-01 00:00:00,330.0,{'Montana'},UNK,,,12/1/2017-12/31/2017,,,,2017-12-31, https://media.dojmt.gov/wp-content/uploads/Advanced-Technology-Group.pdf ,,2018-05-31,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Advancepierre Foods,",2010-10-06 00:00:00,,{'New Hampshire'},UNK,,,"October 06, 2010",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/advancepierre-20111006.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Advantage Consolidated Llc,2015-02-23 00:00:00,,{'California'},UNK,,,02/23/2015,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-48988,,2015-03-23,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Advantage Funding Company,",2014-09-26 00:00:00,,{'New Hampshire'},UNK,,,September 26 2014,,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/advantage-funding-20140926.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Advantagehealth Solutions,2016-03-12 00:00:00,2387.0,{'Indiana'},UNK,2016-12-22,,2016-03-12 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Adventhealth Medical Group,2017-08-01 00:00:00,4.0,{'Montana'},UNK,,,8/1/2017-12/27/2018,,,,2018-12-27, https://media.dojmt.gov/wp-content/uploads/adv.pdf ,,2019-01-25,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Adventhealth Medical Group,Not Specified,,{'Vermont'},UNK,2019-01-29 00:00:00,,,,,,,https://ago.vermont.gov/blog/2019/01/29/adventhealth-medical-group-sbn-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
Advisory Research,2016-10-11 00:00:00,1.0,{'Montana'},UNK,,,10/11/2016-10/11/2017,,,,2017-10-11, https://media.dojmt.gov/wp-content/uploads/Advisory-Research.pdf ,,2017-10-24,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Advisory Research, Inc.,",2017-10-24 00:00:00,,{'New Hampshire'},"['name', 'financial', 'password', 'email']",,,"October 24, 2017",Financial Services,,www.piperjaffray.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/advisory-reearch-20171024.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Advocate Medical Group,",2013-08-23 00:00:00,,{'New Hampshire'},UNK,,,"August 23, 2013",,,www.advocatehealth.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/advocate-medical-group-20130823.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Advocate Medical Group,",2013-07-15 00:00:00,,{'California'},UNK,,,07/15/2013,,,www.advocatehealth.com,,https://oag.ca.gov/ecrime/databreach/reports/sb24-42549,,2013-08-23,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Advocate Sherman Hospital,2018-05-08 00:00:00,2.0,{'Montana'},UNK,,,5/8/2018-8/1/2018,,,www.shermanhealth.com,2018-08-01,https://media.dojmt.gov/wp-content/uploads/CON-MT-Notification.pdf,,2019-03-08,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Advocate Sherman Hospital (""sherman"")",2018-05-08 00:00:00,,{'California'},UNK,,,05/08/2018,,,www.shermanhealth.com,,https://oag.ca.gov/ecrime/databreach/reports/sb24-145430,,2019-03-13,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Aegion Corporation,2014-10-01 00:00:00,2426.0,{'Indiana'},UNK,2016-01-15,,2014-10-01 00:00:00,"Energy, Construction, Turnarounds, Infrastructure",,aegion.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Aegis Living,2017-08-22 00:00:00,1.0,{'Montana'},UNK,,,8/22/2017-9/15/2017,,,,2017-09-15, https://media.dojmt.gov/wp-content/uploads/Aegis-Living.pdf ,,2017-10-05,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Aegis Sciences Corporation,",2011-12-20 00:00:00,,{'New Hampshire'},UNK,,,"December 20, 2011",Advertising,Dentsu,dentsuaegisnetwork.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/aegis-20111220.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Aei Fund Management,2018-07-05 00:00:00,4.0,{'Montana'},UNK,,,7/5/2018-7/9/2018,,,,2018-07-09, https://media.dojmt.gov/wp-content/uploads/AEI-Fund-Management.pdf ,,2018-09-28,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Aei Fund Management, Inc.",2018-07-05 00:00:00,833.0,{'Indiana'},UNK,2018-09-28,,2018-07-05 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Aero Air,2017-01-11 00:00:00,7.0,{'Montana'},UNK,,,1/11/2017-1/11/2017,,,,2017-01-11, https://media.dojmt.gov/wp-content/uploads/Aero-Air.pdf ,,2017-02-02,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Aero-tech Light Bulb Co.,2017-07-04 00:00:00,802.0,{'Indiana'},UNK,2017-09-22,,2017-07-04 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Aero-tech Light Bulb Co.,2017-07-06 00:00:00,1.0,{'Montana'},UNK,,,7/6/2017-9/6/2017,,,,2017-09-06, https://media.dojmt.gov/wp-content/uploads/Aero-Tech-Light-Bulb-Co.pdf ,,2017-09-22,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Aerogrow International,2014-10-15 00:00:00,,{'California'},UNK,,,"10/15/2014, 04/27/2015",,,,2015-04-27,https://oag.ca.gov/ecrime/databreach/reports/sb24-56231,,2015-06-03,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Aerogrow International,2015-05-13 00:00:00,,{'California'},UNK,,,"05/13/2015, 06/10/2015",,,,2015-06-10,https://oag.ca.gov/ecrime/databreach/reports/sb24-56988,,2015-07-09,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Aerogrow International,2018-10-29 00:00:00,,"{'California', 'Oregon'}",UNK,2019-04-04 00:00:00,2019-03-04 00:00:00,10/29/2018 - 3/4/2019,,,,2019-03-04 00:00:00,,,2019-04-04 00:00:00,7,"{""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}"", '{""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}"", \'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Aerogrow International, Inc.,",2015-06-03 00:00:00,,{'New Hampshire'},UNK,,,"June 03, 2015",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/aerogrow-international-20150603.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Aerogrow International, Inc.,",2015-07-09 00:00:00,,{'New Hampshire'},UNK,,,"July 09, 2015",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/aerogrow-20150709.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
